document_id,claim_id,doc_type,present
DOC-0224EBEC,CLM-00000,photo_damage,False
DOC-6876625C,CLM-00000,cai_form,True
DOC-A2A1C616,CLM-00000,repair_estimate,True
DOC-FE52BBB3,CLM-00001,police_report,True
DOC-B96132EB,CLM-00001,id_document,True
DOC-5141C479,CLM-00002,photo_damage,False
DOC-55B7994D,CLM-00002,photo_scene,True
DOC-D26B2170,CLM-00002,repair_estimate,True
DOC-CF8EECD5,CLM-00003,photo_damage,True
DOC-D13EFE2E,CLM-00003,cai_form,True
DOC-401F81B1,CLM-00003,repair_estimate,False
DOC-58E72669,CLM-00004,photo_damage,True
DOC-1A52FA5A,CLM-00004,photo_scene,False
DOC-7AF6A596,CLM-00004,repair_estimate,True
DOC-6EBE8BFA,CLM-00005,photo_damage,True
DOC-520B1A88,CLM-00005,photo_scene,True
DOC-FDA4EFDC,CLM-00005,repair_estimate,True
DOC-D6513566,CLM-00006,photo_damage,True
DOC-A4F5A95F,CLM-00006,photo_scene,False
DOC-BE4FFFFB,CLM-00006,repair_estimate,True
DOC-D24AF595,CLM-00007,photo_damage,True
DOC-117E1CAE,CLM-00007,police_report,True
DOC-EA8AC7C0,CLM-00007,repair_estimate,True
DOC-3F98F996,CLM-00008,police_report,True
DOC-C234518F,CLM-00008,id_document,False
DOC-7CEC5D22,CLM-00009,photo_damage,True
DOC-5B208AEB,CLM-00009,cai_form,True
DOC-838D21F4,CLM-00009,repair_estimate,True
DOC-B00B0A29,CLM-00010,photo_damage,True
DOC-64E9C9CD,CLM-00010,repair_estimate,True
DOC-3A4EEB27,CLM-00011,photo_damage,True
DOC-17119EC9,CLM-00011,police_report,True
DOC-478C0145,CLM-00011,repair_estimate,True
DOC-93471440,CLM-00012,photo_damage,True
DOC-9E1D1634,CLM-00012,cai_form,True
DOC-14538D01,CLM-00012,repair_estimate,True
DOC-F8B0663A,CLM-00013,photo_damage,True
DOC-31CB2F68,CLM-00013,photo_scene,True
DOC-03DE0E75,CLM-00013,repair_estimate,True
DOC-5810DEB2,CLM-00014,photo_damage,True
DOC-9CC246BF,CLM-00014,repair_estimate,True
DOC-42C01AEE,CLM-00015,photo_damage,True
DOC-783D6E27,CLM-00015,photo_scene,True
DOC-661A8F52,CLM-00015,repair_estimate,True
DOC-7763BF71,CLM-00016,photo_damage,False
DOC-029F312D,CLM-00016,repair_estimate,True
DOC-3528D0F0,CLM-00016,police_report,True
DOC-E79E199F,CLM-00017,photo_damage,True
DOC-884FE7E6,CLM-00017,repair_estimate,True
DOC-772BFD4C,CLM-00018,photo_damage,True
DOC-61C91B2D,CLM-00018,cai_form,True
DOC-ECA113CA,CLM-00018,repair_estimate,True
DOC-09372BFC,CLM-00018,photo_scene,True
DOC-CFB4205A,CLM-00019,police_report,True
DOC-706090A8,CLM-00019,id_document,True
DOC-02DFE1FA,CLM-00020,police_report,True
DOC-35D2D612,CLM-00020,id_document,True
DOC-98C0B656,CLM-00021,photo_damage,True
DOC-4B556C2B,CLM-00021,photo_scene,True
DOC-AF23A875,CLM-00021,repair_estimate,True
DOC-50C302F0,CLM-00022,photo_damage,True
DOC-0D7F1BE1,CLM-00022,photo_scene,True
DOC-420C3AA5,CLM-00022,repair_estimate,True
DOC-C75C143C,CLM-00022,police_report,True
DOC-67C0296E,CLM-00023,photo_damage,True
DOC-30DF59F5,CLM-00023,police_report,True
DOC-384EFCA8,CLM-00023,repair_estimate,False
DOC-243D2047,CLM-00023,witness_statement,True
DOC-91ECB5B2,CLM-00024,photo_damage,True
DOC-60C1DAC1,CLM-00024,cai_form,True
DOC-8F1471FC,CLM-00024,repair_estimate,False
DOC-78B31F74,CLM-00024,police_report,True
DOC-F91EAEC2,CLM-00025,police_report,True
DOC-EE7496C2,CLM-00025,id_document,True
DOC-9597360B,CLM-00026,photo_damage,True
DOC-C06F054A,CLM-00026,photo_scene,False
DOC-EEECE0B9,CLM-00026,repair_estimate,True
DOC-F4734316,CLM-00027,photo_damage,True
DOC-A9783BD0,CLM-00027,repair_estimate,True
DOC-2D13704F,CLM-00028,photo_damage,True
DOC-3F2CA03E,CLM-00028,cai_form,True
DOC-4C33A739,CLM-00028,repair_estimate,True
DOC-D00CB0C6,CLM-00029,photo_damage,False
DOC-8F4C7B12,CLM-00029,cai_form,True
DOC-B16D89C9,CLM-00029,repair_estimate,True
DOC-7E3C3935,CLM-00030,photo_damage,True
DOC-19ADA0A4,CLM-00030,police_report,False
DOC-D4EC1930,CLM-00030,repair_estimate,False
DOC-3C18A376,CLM-00031,photo_damage,True
DOC-57F8D2BF,CLM-00031,police_report,True
DOC-74BBDD49,CLM-00031,repair_estimate,False
DOC-83560BBF,CLM-00032,photo_damage,False
DOC-F56D4D68,CLM-00032,cai_form,True
DOC-F9F972BD,CLM-00032,repair_estimate,True
DOC-719AD34C,CLM-00033,photo_damage,True
DOC-68E0B4C0,CLM-00033,cai_form,True
DOC-9DA242B2,CLM-00033,repair_estimate,True
DOC-ACCFBEFC,CLM-00034,photo_damage,True
DOC-3964E16D,CLM-00034,police_report,True
DOC-928B42F3,CLM-00034,repair_estimate,False
DOC-09C8CF36,CLM-00035,photo_damage,True
DOC-03440A9B,CLM-00035,cai_form,True
DOC-A3ABCF9C,CLM-00035,repair_estimate,True
DOC-BED344A6,CLM-00036,photo_damage,False
