claim_id,event_type,event_timestamp,event_data,actor
CLM-00000,created,2024-12-02 12:00:00,,system
CLM-00000,assigned,2024-12-02 16:00:00,{'handler_id': 'HDL-047'},system
CLM-00000,doc_requested,2024-12-05 17:00:00,,HDL-047
CLM-00000,doc_uploaded,2024-12-06 22:00:00,,HDL-047
CLM-00000,contacted_customer,2024-12-09 01:00:00,,HDL-047
CLM-00000,note_added,2024-12-19 12:00:00,,HDL-047
CLM-00001,created,2023-05-11 11:00:00,,system
CLM-00001,assigned,2023-05-11 12:00:00,{'handler_id': 'HDL-037'},system
CLM-00001,escalated,2023-05-12 12:00:00,,HDL-037
CLM-00001,note_added,2023-05-21 11:00:00,,HDL-037
CLM-00002,created,2022-05-21 12:00:00,,system
CLM-00002,assigned,2022-05-21 16:00:00,{'handler_id': 'HDL-026'},system
CLM-00002,escalated,2022-05-22 19:00:00,,HDL-026
CLM-00002,note_added,2022-05-23 20:00:00,,HDL-026
CLM-00002,settled,2022-06-05 12:00:00,,HDL-026
CLM-00003,created,2023-04-07 16:00:00,,system
CLM-00003,assigned,2023-04-07 18:00:00,{'handler_id': 'HDL-020'},system
CLM-00003,doc_uploaded,2023-04-12 00:00:00,,HDL-020
CLM-00003,contacted_customer,2023-04-21 03:00:00,,HDL-020
CLM-00003,doc_uploaded,2023-04-24 06:00:00,,HDL-020
CLM-00003,contacted_customer,2023-04-26 07:00:00,,HDL-020
CLM-00003,note_added,2023-05-05 12:00:00,,HDL-020
CLM-00003,note_added,2023-05-06 12:00:00,,HDL-020
CLM-00003,settled,2023-05-17 16:00:00,,HDL-020
CLM-00004,created,2022-12-18 16:00:00,,system
CLM-00004,assigned,2022-12-18 18:00:00,{'handler_id': 'HDL-010'},system
CLM-00004,doc_uploaded,2022-12-19 19:00:00,,HDL-010
CLM-00004,note_added,2022-12-21 16:00:00,,HDL-010
CLM-00005,created,2023-11-17 16:00:00,,system
CLM-00005,assigned,2023-11-17 18:00:00,{'handler_id': 'HDL-002'},system
CLM-00005,note_added,2023-11-18 18:00:00,,HDL-002
CLM-00005,doc_requested,2023-11-20 00:00:00,,HDL-002
CLM-00005,settled,2023-11-21 16:00:00,,HDL-002
CLM-00006,created,2023-08-09 16:00:00,,system
CLM-00006,assigned,2023-08-09 20:00:00,{'handler_id': 'HDL-034'},system
CLM-00006,contacted_customer,2023-08-10 20:00:00,,HDL-034
CLM-00006,settled,2023-08-15 16:00:00,,HDL-034
CLM-00007,created,2022-01-25 12:00:00,,system
CLM-00007,assigned,2022-01-25 14:00:00,{'handler_id': 'HDL-018'},system
CLM-00007,settled,2022-01-28 12:00:00,,HDL-018
CLM-00008,created,2023-05-31 16:00:00,,system
CLM-00008,assigned,2023-05-31 18:00:00,{'handler_id': 'HDL-010'},system
CLM-00008,doc_requested,2023-06-02 19:00:00,,HDL-010
CLM-00008,note_added,2023-06-03 22:00:00,,HDL-010
CLM-00008,escalated,2023-06-05 23:00:00,,HDL-010
CLM-00008,settled,2023-06-16 16:00:00,,HDL-010
CLM-00009,created,2022-03-28 18:00:00,,system
CLM-00009,assigned,2022-03-28 19:00:00,{'handler_id': 'HDL-035'},system
CLM-00009,note_added,2022-03-30 20:00:00,,HDL-035
CLM-00009,escalated,2022-04-01 20:00:00,,HDL-035
CLM-00009,contacted_customer,2022-04-03 01:00:00,,HDL-035
CLM-00009,settled,2022-04-12 18:00:00,,HDL-035
CLM-00010,created,2023-04-22 14:00:00,,system
CLM-00010,assigned,2023-04-22 16:00:00,{'handler_id': 'HDL-028'},system
CLM-00010,doc_requested,2023-04-23 19:00:00,,HDL-028
CLM-00010,denied,2023-04-27 14:00:00,,HDL-028
CLM-00011,created,2023-07-20 14:00:00,,system
CLM-00011,assigned,2023-07-20 18:00:00,{'handler_id': 'HDL-028'},system
CLM-00011,escalated,2023-07-22 00:00:00,,HDL-028
CLM-00011,note_added,2023-07-27 14:00:00,,HDL-028
CLM-00012,created,2022-01-31 16:00:00,,system
CLM-00012,assigned,2022-01-31 20:00:00,{'handler_id': 'HDL-037'},system
CLM-00012,doc_requested,2022-02-03 00:00:00,,HDL-037
CLM-00012,doc_uploaded,2022-02-04 07:00:00,,HDL-037
CLM-00012,settled,2022-02-22 16:00:00,,HDL-037
CLM-00013,created,2023-02-13 16:00:00,,system
CLM-00013,assigned,2023-02-13 17:00:00,{'handler_id': 'HDL-044'},system
CLM-00013,contacted_customer,2023-02-14 19:00:00,,HDL-044
CLM-00013,settled,2023-02-19 16:00:00,,HDL-044
CLM-00014,created,2022-07-06 15:00:00,,system
CLM-00014,assigned,2022-07-06 19:00:00,{'handler_id': 'HDL-014'},system
CLM-00014,note_added,2022-07-07 20:00:00,,HDL-014
CLM-00014,note_added,2022-07-09 15:00:00,,HDL-014
CLM-00015,created,2022-10-18 16:00:00,,system
CLM-00015,assigned,2022-10-18 19:00:00,{'handler_id': 'HDL-020'},system
CLM-00015,settled,2022-10-25 16:00:00,,HDL-020
CLM-00016,created,2023-10-12 11:00:00,,system
CLM-00016,assigned,2023-10-12 12:00:00,{'handler_id': 'HDL-038'},system
CLM-00016,settled,2023-10-15 11:00:00,,HDL-038
CLM-00017,created,2022-09-21 09:00:00,,system
CLM-00017,assigned,2022-09-21 10:00:00,{'handler_id': 'HDL-003'},system
CLM-00017,note_added,2022-09-23 09:00:00,,HDL-003
CLM-00018,created,2021-09-15 10:00:00,,system
CLM-00018,assigned,2021-09-15 11:00:00,{'handler_id': 'HDL-039'},system
CLM-00018,doc_uploaded,2021-09-16 18:00:00,,HDL-039
CLM-00018,settled,2021-09-24 10:00:00,,HDL-039
CLM-00019,created,2023-01-24 11:00:00,,system
CLM-00019,assigned,2023-01-24 15:00:00,{'handler_id': 'HDL-039'},system
CLM-00019,doc_uploaded,2023-01-25 22:00:00,,HDL-039
CLM-00019,note_added,2023-01-27 02:00:00,,HDL-039
CLM-00019,doc_requested,2023-01-29 05:00:00,,HDL-039
CLM-00019,denied,2023-02-06 11:00:00,,HDL-039
CLM-00020,created,2023-12-03 13:00:00,,system
CLM-00020,assigned,2023-12-03 15:00:00,{'handler_id': 'HDL-020'},system
CLM-00020,escalated,2023-12-05 20:00:00,,HDL-020
CLM-00020,note_added,2023-12-06 23:00:00,,HDL-020
CLM-00020,note_added,2023-12-09 03:00:00,,HDL-020
CLM-00020,denied,2023-12-23 13:00:00,,HDL-020
CLM-00021,created,2023-10-11 17:00:00,,system
CLM-00021,assigned,2023-10-11 20:00:00,{'handler_id': 'HDL-009'},system
CLM-00021,settled,2023-10-15 17:00:00,,HDL-009
CLM-00022,created,2022-08-18 18:00:00,,system
CLM-00022,assigned,2022-08-18 21:00:00,{'handler_id': 'HDL-030'},system
CLM-00022,note_added,2022-08-21 01:00:00,,HDL-030
