policy_id,policyholder_id,vehicle_id,policy_type,inception_date,expiry_date,annual_premium,coverage_limit,deductible
POL-7F092C3D,PH-5642039C,VH-C5DEC97A,comprehensive,2022-04-06,2023-04-06,170.53,18736.42,250
POL-26F67125,PH-34B64F5F,VH-92C42EA1,fire_theft,2023-02-02,2024-02-02,190.25,31953.59,250
POL-932E0DC6,PH-57B779E8,VH-793C895D,comprehensive,2023-02-15,2024-02-15,494.19,59602.15,500
POL-ECE305D4,PH-CBB8BF9A,VH-B4DB3512,fire_theft,2023-10-21,2024-10-20,84.55,12903.69,750
POL-F8F47915,PH-FE26638C,VH-395921B3,third_party,2023-07-31,2024-07-30,23.62,6490.24,500
POL-DC0994F7,PH-4DA2F289,VH-A05445CE,third_party,2022-10-06,2023-10-06,83.25,7861.83,750
POL-0F82BFBE,PH-43D81E3D,VH-B2AC9452,fire_theft,2021-08-18,2022-08-18,142.17,20483.45,500
POL-B48D935C,PH-D6B0D761,VH-D7EBB564,third_party,2023-08-17,2024-08-16,385.72,47186.97,750
POL-0B40AA46,PH-5B4DDAC2,VH-65F02914,fire_theft,2022-12-21,2023-12-21,556.13,74519.34,500
POL-ED5BF8A3,PH-4D42F47A,VH-20025DF8,fire_theft,2022-07-09,2023-07-09,271.97,29296.0,250
POL-EE09D0C3,PH-753D653C,VH-F4A77805,third_party,2021-12-25,2022-12-25,183.57,18332.18,500
POL-D44DA2CE,PH-E5FAF2C3,VH-5012AD6A,third_party,2022-01-15,2023-01-15,92.72,24074.86,750
POL-B6987E93,PH-B84B625A,VH-5579EF66,third_party,2022-05-28,2023-05-28,162.61,21773.0,250
POL-9830B532,PH-CE4AE657,VH-EA489DFE,fire_theft,2023-09-18,2024-09-17,38.77,5745.92,750
POL-6104B4D3,PH-D428E90B,VH-D2386072,third_party,2021-11-18,2022-11-18,109.69,25799.59,0
POL-8FCD4101,PH-E0CF2FB1,VH-A001E40C,comprehensive,2022-07-27,2023-07-27,473.87,51363.66,500
POL-DA63593B,PH-12E434E6,VH-7CF60A84,third_party,2021-08-13,2022-08-13,358.39,46652.14,750
POL-3F88CEEB,PH-C415E21D,VH-730C11DD,third_party,2023-08-16,2024-08-15,117.42,16164.4,500
POL-04399953,PH-193838D2,VH-7A6BC49C,third_party,2023-09-27,2024-09-26,694.1,138725.12,250
POL-248AEDBE,PH-A21155B0,VH-68BB6E42,fire_theft,2023-08-31,2024-08-30,250.53,39704.85,0
POL-EC269979,PH-CF8A8C81,VH-793D6269,comprehensive,2023-09-07,2024-09-06,393.18,26771.09,500
POL-73BE7CCD,PH-6600E93F,VH-20B76EB3,third_party,2021-02-06,2022-02-06,36.79,8055.53,250
POL-618A3D18,PH-031362F2,VH-8866E103,comprehensive,2021-11-27,2022-11-27,907.81,82385.06,750
POL-4FF93219,PH-BED911F4,VH-549CD3D2,third_party,2023-11-06,2024-11-05,202.67,42791.77,750
POL-C3340662,PH-DAD17D02,VH-4EC78437,third_party,2021-07-16,2022-07-16,316.29,60354.12,1000
POL-FA1F45C4,PH-6F4BAB3B,VH-16681871,third_party,2023-05-07,2024-05-06,712.55,114468.23,0
POL-4B13F987,PH-B94F13A6,VH-424E8F29,third_party,2023-10-10,2024-10-09,186.7,33480.19,500
POL-E30E30A7,PH-CE2C64D8,VH-9D60E778,comprehensive,2021-10-31,2022-10-31,104.86,12533.59,500
POL-B4F3A7AE,PH-1C162570,VH-E95472BA,comprehensive,2023-11-24,2024-11-23,576.01,40023.42,750
POL-A8B6279E,PH-83A7033C,VH-4B273267,third_party,2021-06-10,2022-06-10,176.15,28218.57,500
POL-BC1F7D0B,PH-55813FED,VH-8FDB9B44,third_party,2023-07-22,2024-07-21,280.03,59830.24,1000
POL-1E66EACD,PH-328DA25F,VH-DB5B91E3,fire_theft,2023-02-11,2024-02-11,278.1,48772.71,250
POL-77143A8A,PH-166442E2,VH-4DEDEA09,comprehensive,2022-05-11,2023-05-11,234.57,26464.23,500
POL-8EE3D61D,PH-B25B8F8F,VH-0ABCD30A,fire_theft,2023-10-17,2024-10-16,281.35,33258.41,250
POL-A2751155,PH-B1D611E2,VH-2089291C,third_party,2023-11-23,2024-11-22,91.18,10067.21,750
POL-EE00E809,PH-5920E871,VH-DCE9B8A7,comprehensive,2022-02-21,2023-02-21,405.75,28263.07,1000
POL-BB7AA3B7,PH-29E241D5,VH-99A94F57,comprehensive,2022-03-07,2023-03-07,126.1,14472.75,0
POL-4A6B8AC8,PH-F1719B18,VH-2EC0132D,comprehensive,2022-04-16,2023-04-16,816.87,54020.08,1000
