vehicle_id,policyholder_id,make,model,year,fuel_type,estimated_value,plate_number
VH-C5DEC97A,PH-5642039C,Fiat,500,2020,petrol,5495.62,IF617WO
VH-92C42EA1,PH-34B64F5F,Hyundai,i20,2016,petrol,6543.64,OL777WR
VH-793C895D,PH-57B779E8,Volkswagen,Golf,2019,petrol,12726.29,XE134DL
VH-B4DB3512,PH-CBB8BF9A,Fiat,500,2013,petrol,3040.36,FX993QI
VH-395921B3,PH-FE26638C,Fiat,Punto,2010,hybrid,1630.64,QY613SF
VH-A05445CE,PH-4DA2F289,Peugeot,208,2017,diesel,3729.37,VD416KA
VH-B2AC9452,PH-43D81E3D,Opel,Corsa,2015,hybrid,6513.77,SD017KE
VH-D7EBB564,PH-D6B0D761,Renault,Captur,2018,diesel,16863.08,OU050IT
VH-65F02914,PH-5B4DDAC2,Jeep,Renegade,2024,diesel,24840.44,KX923XZ
VH-20025DF8,PH-4D42F47A,Dacia,Duster,2021,petrol,9533.65,ZU018JK
VH-F4A77805,PH-753D653C,Renault,Clio,2018,hybrid,8431.87,CM361IF
VH-5012AD6A,PH-E5FAF2C3,Fiat,Panda,2023,petrol,5146.61,GF642MY
VH-5579EF66,PH-B84B625A,Renault,Captur,2018,hybrid,9503.94,JP492ZN
VH-EA489DFE,PH-CE4AE657,Ford,Fiesta,2012,petrol,1880.19,VD377LQ
VH-D2386072,PH-D428E90B,Dacia,Duster,2018,hybrid,6420.45,PI616ST
VH-A001E40C,PH-E0CF2FB1,Volkswagen,Polo,2021,petrol,10296.17,TF610NU
VH-7CF60A84,PH-12E434E6,Fiat,500,2024,electric,20670.0,OV278HU
VH-730C11DD,PH-C415E21D,Lancia,Ypsilon,2019,petrol,6010.27,JO742NC
VH-7A6BC49C,PH-193838D2,Mercedes-Benz,GLA,2021,diesel,34516.05,VJ649HQ
VH-68BB6E42,PH-A21155B0,Citroen,C3,2018,petrol,8206.46,RC186BQ
VH-793D6269,PH-CF8A8C81,Opel,Corsa,2018,petrol,8622.96,DO945VX
VH-20B76EB3,PH-6600E93F,Fiat,Punto,2013,hybrid,1898.27,SC017YQ
VH-8866E103,PH-031362F2,Audi,A3,2022,diesel,22112.23,ZF164MB
VH-549CD3D2,PH-BED911F4,Volkswagen,Golf,2023,hybrid,8997.01,SX794OY
VH-4EC78437,PH-DAD17D02,Peugeot,308,2021,diesel,21925.3,ZF194GF
VH-16681871,PH-6F4BAB3B,Volkswagen,Golf,2024,diesel,30555.57,NR610AA
VH-424E8F29,PH-B94F13A6,Renault,Clio,2024,electric,8639.64,UP697OW
VH-9D60E778,PH-CE2C64D8,Volkswagen,Golf,2013,hybrid,3634.6,TT641LW
VH-E95472BA,PH-1C162570,BMW,Serie 3,2022,petrol,14118.65,EA030GD
VH-4B273267,PH-83A7033C,BMW,X1,2017,diesel,10642.48,PU368EU
VH-8FDB9B44,PH-55813FED,Peugeot,308,2020,diesel,14074.57,CJ276YO
VH-DB5B91E3,PH-328DA25F,Fiat,Tipo,2024,petrol,11547.82,DF777EX
VH-4DEDEA09,PH-166442E2,Fiat,Panda,2020,diesel,6769.64,OS496HG
VH-0ABCD30A,PH-B25B8F8F,Fiat,500,2017,hybrid,10104.09,KA667DU
VH-2089291C,PH-B1D611E2,Toyota,Yaris,2013,petrol,4140.12,BP899MP
VH-DCE9B8A7,PH-5920E871,Opel,Corsa,2018,petrol,9561.38,HW069BQ
VH-99A94F57,PH-29E241D5,Fiat,Panda,2016,hybrid,2952.06,RC671IU
VH-2EC0132D,PH-F1719B18,Jeep,Renegade,2020,petrol,19785.43,TU602LO
VH-B6AA3C44,PH-A31AE4EE,Volkswagen,Polo,2014,diesel,2177.34,XG738PL
VH-7D928E8C,PH-F5D8B4DC,Fiat,Panda,2022,electric,11147.4,SV724KT
VH-4D7F56BF,PH-8D22AA5B,Fiat,500,2018,petrol,12188.98,NV572UX
VH-3BD2569D,PH-34B1AFC7,Toyota,RAV4,2017,hybrid,20026.26,JW722XC
VH-CDF98DA4,PH-6490C36D,Fiat,500,2015,petrol,7697.18,FT674PD
VH-75E3DE62,PH-66091482,Lancia,Ypsilon,2019,petrol,5403.66,GR545BA
VH-FB4A0DAD,PH-2EF2F55F,Ford,Fiesta,2019,hybrid,3769.74,FQ156BZ
VH-3AB8CEFA,PH-8CFCE445,Hyundai,i20,2014,hybrid,5408.62,TH374DR
VH-E3BFE2F0,PH-4EDC3BF9,Lancia,Ypsilon,2015,petrol,4273.21,ZL842YB
VH-358F8ACF,PH-3AB0E54D,Lancia,Ypsilon,2016,diesel,2501.33,WB711OZ
VH-38B7BB43,PH-3CED7228,Fiat,Panda,2020,electric,7478.55,RB213QD
VH-3A26F370,PH-7E7285EA,Renault,Captur,2022,diesel,17867.17,FX787JW
VH-ACC4006A,PH-13B9453B,Volkswagen,Golf,2015,diesel,13987.85,EU213LK
VH-8E14E829,PH-4D08739A,Hyundai,i20,2014,electric,4071.14,NY375YA
VH-FAF421A8,PH-0943648F,Renault,Clio,2015,hybrid,2299.71,QF565CI
VH-B45E5A3C,PH-D388E37B,Renault,Clio,2019,diesel,5629.25,EY632YQ
VH-BEB17DCE,PH-90879047,Opel,Corsa,2012,hybrid,6564.79,NN507OQ
VH-FE772B81,PH-F22D97DE,Audi,Q3,2016,hybrid,9740.16,YA811WZ
VH-4A821806,PH-C8C5940B,Mercedes-Benz,Classe A,2023,petrol,39443.46,KM606YF
VH-E8A7732D,PH-7FE57ECE,Volkswagen,Polo,2020,petrol,18331.18,VU084ES
VH-72D9C8D7,PH-6D160EAC,Mercedes-Benz,Classe A,2016,diesel,11530.92,MV455WR
VH-631A9E03,PH-94D15F02,Dacia,Sandero,2019,petrol,8936.27,IQ673TE
VH-C488CEE0,PH-3A103595,Fiat,Panda,2022,hybrid,4789.18,WL634ZZ
VH-C7457823,PH-C2089724,Toyota,Corolla,2021,hybrid,10998.7,BR288KM
VH-B21A3CEB,PH-C67C2D96,Alfa Romeo,Stelvio,2022,hybrid,29326.16,GC485QR
VH-D37F311F,PH-BB9A90F3,Fiat,Panda,2021,hybrid,9816.17,AA943ZR
VH-F49693D9,PH-76B4A710,BMW,Serie 3,2015,petrol,12639.88,XN054QD
VH-0C37126D,PH-D4CFF094,Fiat,500,2024,hybrid,15799.01,DB174YU
VH-F6AF3A27,PH-B3809B07,Opel,Corsa,2015,petrol,4853.99,OK998HZ
VH-8409A257,PH-12B26064,Fiat,Panda,2024,petrol,15446.1,LJ926JV
VH-DFE6F842,PH-4A8443B7,Opel,Corsa,2013,petrol,2522.26,DK357QS
VH-1160C4B3,PH-FEBE1125,Hyundai,Tucson,2018,hybrid,22455.55,EW110NN
VH-DD2512D6,PH-B9854878,Toyota,Corolla,2023,petrol,24715.67,EP158GO
VH-FC3CA011,PH-5C7762A6,Fiat,Tipo,2023,hybrid,9860.64,SR649QY
VH-28A48813,PH-FA6A7B3E,Ford,Focus,2016,electric,12128.67,UN762OW
VH-2E64EB93,PH-86AFC898,Fiat,Panda,2018,petrol,8970.71,QE728PW
VH-CC9CCA5B,PH-531D7BB1,Fiat,500,2020,petrol,11112.22,WG028OP
VH-26B19A79,PH-42283B55,Volkswagen,Golf,2012,hybrid,4620.63,DT159ND
VH-B591CC75,PH-DE487C21,Toyota,Corolla,2016,electric,12558.87,BQ545ED
VH-27ACA3A8,PH-D3A6EB81,Ford,Focus,2019,petrol,20395.59,JP229AZ
VH-9C022DC4,PH-7311268D,Ford,Focus,2018,electric,14144.44,BJ270JG
